Date(UTC),UnixTimeStamp,Value
2016-05-03,1462233600,37821
2016-05-04,1462320000,37484
2016-05-05,1462406400,38707
2016-05-06,1462492800,41271
2016-05-07,1462579200,35864
2016-05-08,1462665600,40063
2016-05-09,1462752000,38560
2016-05-10,1462838400,40684
2016-05-11,1462924800,40811
2016-05-12,1463011200,45002
2016-05-13,1463097600,47737
2016-05-14,1463184000,45745
2016-05-15,1463270400,43073
2016-05-16,1463356800,37424
2016-05-17,1463443200,40309
2016-05-18,1463529600,46033
2016-05-19,1463616000,44523
2016-05-20,1463702400,45177
2016-05-21,1463788800,43621
2016-05-22,1463875200,38895
2016-05-23,1463961600,43806
2016-05-24,1464048000,42911
2016-05-25,1464134400,46443
2016-05-26,1464220800,51147
2016-05-27,1464307200,49006
2016-05-28,1464393600,70148
2016-05-29,1464480000,45890
2016-05-30,1464566400,42927
2016-05-31,1464652800,44386
2016-06-01,1464739200,42221
2016-06-02,1464825600,39666
2016-06-03,1464912000,39834
2016-06-04,1464998400,37875
2016-06-05,1465084800,37896
2016-06-06,1465171200,38957
2016-06-07,1465257600,46141
2016-06-08,1465344000,40433
2016-06-09,1465430400,39854
2016-06-10,1465516800,40145
2016-06-11,1465603200,36901
2016-06-12,1465689600,42581
2016-06-13,1465776000,46185
2016-06-14,1465862400,50335
2016-06-15,1465948800,43251
2016-06-16,1466035200,43392
2016-06-17,1466121600,66558
2016-06-18,1466208000,63083
2016-06-19,1466294400,51035
2016-06-20,1466380800,47118
2016-06-21,1466467200,47323
2016-06-22,1466553600,48615
2016-06-23,1466640000,41908
2016-06-24,1466726400,45331
2016-06-25,1466812800,36684
2016-06-26,1466899200,41613
2016-06-27,1466985600,39663
2016-06-28,1467072000,43089
2016-06-29,1467158400,49897
2016-06-30,1467244800,63952
2016-07-01,1467331200,40085
2016-07-02,1467417600,39257
2016-07-03,1467504000,39757
2016-07-04,1467590400,39950
2016-07-05,1467676800,39270
2016-07-06,1467763200,37900
2016-07-07,1467849600,40433
2016-07-08,1467936000,42506
2016-07-09,1468022400,40410
2016-07-10,1468108800,39358
2016-07-11,1468195200,38582
2016-07-12,1468281600,40811
2016-07-13,1468368000,35740
2016-07-14,1468454400,42809
2016-07-15,1468540800,41110
2016-07-16,1468627200,38062
2016-07-17,1468713600,33914
2016-07-18,1468800000,39198
2016-07-19,1468886400,44184
